province_state,country_region,last_update,confirmed,deaths,recovered,latitude,longitude
NA,Slovakia,2020-03-22T23:13:18Z,185,1,7,48.669,19.699
Utah,US,2020-03-22T22:43:03Z,181,1,0,40.15,-111.8624
Yunnan,China,2020-03-16T23:53:02Z,176,2,172,24.974,101.487
NA,Taiwan*,2020-03-22T08:13:31Z,169,2,28,23.7,121
Minnesota,US,2020-03-22T18:13:51Z,169,1,0,45.6945,-93.9002
Hainan,China,2020-03-16T14:38:45Z,168,6,161,19.1959,109.7453
Arkansas,US,2020-03-22T19:43:03Z,165,0,0,34.9697,-92.3731
Oregon,US,2020-03-22T20:43:03Z,161,4,0,44.572,-122.0709
NA,San Marino,2020-03-22T11:13:20Z,160,20,4,43.9424,12.4578
NA,United Arab Emirates,2020-03-21T17:43:03Z,153,2,38,23.4241,53.8478
Arizona,US,2020-03-22T19:43:03Z,152,2,0,33.7298,-111.4312
Guizhou,China,2020-03-18T01:53:03Z,146,2,144,26.8154,106.8748
NA,Latvia,2020-03-22T15:13:52Z,139,0,1,56.8796,24.6032
Alabama,US,2020-03-22T18:13:51Z,138,0,0,32.3182,-86.9023
Tianjin,China,2020-03-19T23:43:03Z,137,3,133,39.3054,117.323
Gansu,China,2020-03-22T14:13:06Z,136,2,114,36.0611,103.8343
NA,Uruguay,2020-03-22T11:13:20Z,135,0,0,-32.5228,-55.7658
NA,Costa Rica,2020-03-22T23:43:03Z,134,2,2,9.7489,-83.7534
Shanxi,China,2020-03-13T11:09:03Z,133,0,133,37.5777,112.2922
NA,Hungary,2020-03-22T23:13:18Z,131,6,16,47.1625,19.5033
NA,Lithuania,2020-03-22T15:13:52Z,131,1,1,55.1694,23.8813
NA,Bosnia and Herzegovina,2020-03-22T23:43:03Z,126,1,2,43.9159,17.6791
Liaoning,China,2020-03-22T06:43:03Z,126,2,124,41.2956,122.6085
Western Australia,Australia,2020-03-22T14:13:10Z,120,1,0,-31.9505,115.8605
Faroe Islands,Denmark,2020-03-22T15:13:52Z,115,0,0,61.8926,-6.9118
NA,Morocco,2020-03-22T23:13:18Z,115,4,3,31.7917,-7.0926
NA,North Macedonia,2020-03-22T23:13:18Z,114,1,1,41.6086,21.7453
NA,Andorra,2020-03-22T14:43:19Z,113,1,1,42.5063,1.5218
NA,Vietnam,2020-03-22T16:43:07Z,113,0,17,14.0583,108.2772
NA,Jordan,2020-03-22T23:13:18Z,112,0,1,30.5852,36.2384
District of Columbia,US,2020-03-22T22:43:03Z,102,2,0,38.8974,-77.0268
South Australia,Australia,2020-03-22T14:13:10Z,100,0,3,-34.9285,138.6007
Missouri,US,2020-03-22T20:43:03Z,100,3,0,38.4561,-92.2884
Kentucky,US,2020-03-22T18:13:51Z,99,3,0,37.6681,-84.6701
NA,Cyprus,2020-03-22T16:43:07Z,95,1,3,35.1264,33.4299
NA,Moldova,2020-03-22T16:43:07Z,94,1,1,47.4116,28.3699
Jilin,China,2020-03-16T00:22:10Z,93,1,92,43.6661,126.1923
